space,config,algorithm,cluster_count,noise_count,noise_fraction,coverage,smallest_cluster,largest_cluster,silhouette_original_cosine,eps,min_samples,min_cluster_size,selected
umap,dbscan_eps0.5420_ms10,dbscan,11,57,0.20212765957446807,0.7978723404255319,10,47,0.08534462749958038,0.541978,10.0,,False
umap,dbscan_eps0.5576_ms10,dbscan,11,46,0.16312056737588654,0.8368794326241135,7,65,0.01512004155665636,0.55757,10.0,,False
umap,dbscan_eps0.5716_ms10,dbscan,10,40,0.14184397163120568,0.8581560283687943,6,67,-0.007488506380468607,0.571608,10.0,,False
umap,dbscan_eps0.5809_ms10,dbscan,10,32,0.11347517730496454,0.8865248226950354,5,72,-0.022515513002872467,0.580884,10.0,,False
umap,dbscan_eps0.5920_ms10,dbscan,9,27,0.09574468085106383,0.9042553191489362,10,75,0.039907507598400116,0.592032,10.0,,False
umap,dbscan_eps0.6068_ms10,dbscan,8,26,0.09219858156028368,0.9078014184397163,10,73,0.041430264711380005,0.606818,10.0,,False
umap,dbscan_eps0.6156_ms10,dbscan,6,24,0.0851063829787234,0.9148936170212766,10,163,0.011881358921527863,0.615597,10.0,,False
umap,dbscan_eps0.6291_ms10,dbscan,6,17,0.06028368794326241,0.9397163120567376,10,169,0.008908741176128387,0.629136,10.0,,False
umap,dbscan_eps0.6368_ms10,dbscan,6,17,0.06028368794326241,0.9397163120567376,10,169,0.008908741176128387,0.636822,10.0,,False
umap,dbscan_eps0.6458_ms10,dbscan,6,9,0.031914893617021274,0.9680851063829787,10,177,0.003230201080441475,0.645771,10.0,,False
umap,dbscan_eps0.6550_ms10,dbscan,5,4,0.014184397163120567,0.9858156028368794,10,191,-0.009288177825510502,0.655019,10.0,,False
umap,dbscan_eps0.6625_ms10,dbscan,5,3,0.010638297872340425,0.9893617021276596,10,191,-0.010239217430353165,0.662535,10.0,,False
umap,dbscan_eps0.6735_ms10,dbscan,5,3,0.010638297872340425,0.9893617021276596,9,192,-0.010322057642042637,0.673538,10.0,,False
umap,dbscan_eps0.6826_ms10,dbscan,3,2,0.0070921985815602835,0.9929078014184397,13,214,-0.029193434864282608,0.682641,10.0,,False
umap,dbscan_eps0.7035_ms10,dbscan,3,1,0.0035460992907801418,0.9964539007092199,13,214,-0.030373811721801758,0.703488,10.0,,False
umap,dbscan_eps0.7149_ms10,dbscan,3,1,0.0035460992907801418,0.9964539007092199,13,214,-0.030373811721801758,0.714922,10.0,,False
umap,dbscan_eps0.7396_ms10,dbscan,3,0,0.0,1.0,13,215,-0.03141707926988602,0.739601,10.0,,False
umap,dbscan_eps0.7696_ms10,dbscan,3,0,0.0,1.0,13,215,-0.03141707926988602,0.769616,10.0,,False
umap,dbscan_eps0.7985_ms10,dbscan,3,0,0.0,1.0,13,215,-0.03141707926988602,0.798505,10.0,,False
umap,hdbscan_mcs5_ms1,hdbscan,22,41,0.1453900709219858,0.8546099290780141,5,45,0.0749480351805687,,1.0,5.0,False
umap,hdbscan_mcs5_ms3,hdbscan,20,46,0.16312056737588654,0.8368794326241135,5,44,0.08204367756843567,,3.0,5.0,False
umap,hdbscan_mcs5_ms5,hdbscan,16,58,0.20567375886524822,0.7943262411347518,5,41,0.07739400863647461,,5.0,5.0,False
umap,hdbscan_mcs8_ms1,hdbscan,14,24,0.0851063829787234,0.9148936170212766,8,46,0.07014282792806625,,1.0,8.0,False
