space,algorithm,config,n_components,n_neighbors,min_cluster_size,min_samples,cluster_count,noise_count,noise_fraction,coverage,smallest_cluster,largest_cluster,silhouette_original_cosine,ari_vs_zhicheng_shared,is_zhicheng_shared
umap5,hdbscan,nn10_hdbscan_mcs15_ms8,5,10,15,8,8,137,0.29978118161925604,0.700218818380744,15,119,0.049808405339717865,0.2626971822740318,False
umap5,hdbscan,nn10_hdbscan_mcs15_ms10,5,10,15,10,8,126,0.27571115973741794,0.7242888402625821,15,130,0.04463348910212517,0.24846673011750237,False
umap5,hdbscan,nn10_hdbscan_mcs20_ms1,5,10,20,1,5,175,0.38293216630196936,0.6170678336980306,20,113,0.06513214111328125,0.1892571552675754,False
umap5,hdbscan,nn10_hdbscan_mcs20_ms3,5,10,20,3,4,156,0.3413566739606127,0.6586433260393874,34,153,0.05128062516450882,0.17537486154118526,False
umap5,hdbscan,nn10_hdbscan_mcs20_ms5,5,10,20,5,5,138,0.30196936542669583,0.6980306345733042,32,154,0.02810909040272236,0.21966655531838766,False
umap5,hdbscan,nn10_hdbscan_mcs20_ms8,5,10,20,8,4,176,0.3851203501094092,0.6148796498905909,37,146,0.0486561581492424,0.16615306331352625,False
umap5,hdbscan,nn10_hdbscan_mcs20_ms10,5,10,20,10,4,193,0.4223194748358862,0.5776805251641138,36,130,0.0650600716471672,0.15273980930040143,False
umap5,hdbscan,nn15_hdbscan_mcs5_ms1,5,15,5,1,32,57,0.12472647702407003,0.87527352297593,5,53,0.05151291936635971,0.4625092968368267,False
umap5,hdbscan,nn15_hdbscan_mcs5_ms3,5,15,5,3,27,60,0.13129102844638948,0.8687089715536105,5,52,0.06604945659637451,0.5550600141873387,False
umap5,hdbscan,nn15_hdbscan_mcs5_ms5,5,15,5,5,23,119,0.2603938730853392,0.7396061269146609,6,50,0.08886371552944183,0.36815603613633113,False
umap5,hdbscan,nn15_hdbscan_mcs8_ms1,5,15,8,1,22,58,0.12691466083150985,0.8730853391684902,8,53,0.07517042011022568,0.5744884560302737,False
umap5,hdbscan,nn15_hdbscan_mcs8_ms3,5,15,8,3,21,60,0.13129102844638948,0.8687089715536105,8,52,0.06940346956253052,0.5692557903860748,False
umap5,hdbscan,nn15_hdbscan_mcs8_ms5,5,15,8,5,18,129,0.28227571115973743,0.7177242888402626,8,50,0.09332834929227829,0.3789865927744733,False
umap5,hdbscan,nn15_hdbscan_mcs8_ms8,5,15,8,8,15,115,0.25164113785557984,0.7483588621444202,8,87,0.0763154923915863,0.3604638436384703,False
umap5,hdbscan,nn15_hdbscan_mcs10_ms1,5,15,10,1,17,58,0.12691466083150985,0.8730853391684902,10,53,0.0782572478055954,0.5626551699602683,False
umap5,hdbscan,nn15_hdbscan_mcs10_ms3,5,15,10,3,17,71,0.15536105032822758,0.8446389496717724,10,52,0.08186374604701996,0.5311409366880301,False
umap5,hdbscan,nn15_hdbscan_mcs10_ms5,5,15,10,5,14,108,0.2363238512035011,0.7636761487964989,11,105,0.06238119676709175,0.3409072718342231,False
umap5,hdbscan,nn15_hdbscan_mcs10_ms8,5,15,10,8,14,123,0.26914660831509846,0.7308533916849015,11,87,0.07797198742628098,0.33879494861618875,False
umap5,hdbscan,nn15_hdbscan_mcs10_ms10,5,15,10,10,14,146,0.31947483588621445,0.6805251641137856,11,77,0.08978741616010666,0.286893805771271,False
umap5,hdbscan,nn15_hdbscan_mcs12_ms1,5,15,12,1,15,79,0.17286652078774617,0.8271334792122538,12,53,0.07258011400699615,0.5034122581028441,False
umap5,hdbscan,nn15_hdbscan_mcs12_ms3,5,15,12,3,15,92,0.2013129102844639,0.7986870897155361,12,52,0.07609240710735321,0.46602100285090065,False
umap5,hdbscan,nn15_hdbscan_mcs12_ms5,5,15,12,5,5,13,0.028446389496717725,0.9715536105032823,12,384,-0.03318188339471817,0.04208779349482091,False
umap5,hdbscan,nn15_hdbscan_mcs12_ms8,5,15,12,8,12,119,0.2603938730853392,0.7396061269146609,12,113,0.05811582878232002,0.30043024940480656,False
umap5,hdbscan,nn15_hdbscan_mcs12_ms10,5,15,12,10,4,13,0.028446389496717725,0.9715536105032823,13,397,0.014934306964278221,0.03214044416393606,False
umap5,hdbscan,nn15_hdbscan_mcs15_ms1,5,15,15,1,3,24,0.0525164113785558,0.9474835886214442,15,398,0.06298535317182541,0.03429841601312058,False
umap5,hdbscan,nn15_hdbscan_mcs15_ms3,5,15,15,3,3,24,0.0525164113785558,0.9474835886214442,15,398,0.06298535317182541,0.03429841601312058,False
umap5,hdbscan,nn15_hdbscan_mcs15_ms5,5,15,15,5,3,24,0.0525164113785558,0.9474835886214442,15,398,0.06298535317182541,0.03429841601312058,False
umap5,hdbscan,nn15_hdbscan_mcs15_ms8,5,15,15,8,3,25,0.05470459518599562,0.9452954048140044,15,398,0.062111467123031616,0.03246285248760585,False
umap5,hdbscan,nn15_hdbscan_mcs15_ms10,5,15,15,10,3,26,0.05689277899343545,0.9431072210065645,15,397,0.06242864206433296,0.031840437771544695,False
umap5,hdbscan,nn15_hdbscan_mcs20_ms1,5,15,20,1,2,39,0.08533916849015317,0.9146608315098468,20,398,0.07777205854654312,0.03365572489092804,False
umap5,hdbscan,nn15_hdbscan_mcs20_ms3,5,15,20,3,2,39,0.08533916849015317,0.9146608315098468,20,398,0.07777205854654312,0.03365572489092804,False
umap5,hdbscan,nn15_hdbscan_mcs20_ms5,5,15,20,5,2,39,0.08533916849015317,0.9146608315098468,20,398,0.07777205854654312,0.03365572489092804,False
umap5,hdbscan,nn15_hdbscan_mcs20_ms8,5,15,20,8,4,221,0.48358862144420134,0.5164113785557987,34,113,0.06730525195598602,0.1267895324539012,False
umap5,hdbscan,nn15_hdbscan_mcs20_ms10,5,15,20,10,4,199,0.43544857768052514,0.5645514223194749,43,114,0.06200939044356346,0.1430162848416707,False
umap5,hdbscan,nn30_hdbscan_mcs5_ms1,5,30,5,1,31,69,0.15098468271334792,0.849015317286652,5,57,0.07024642080068588,0.37953795869978896,False
umap5,hdbscan,nn30_hdbscan_mcs5_ms3,5,30,5,3,24,78,0.17067833698030635,0.8293216630196937,5,74,0.077995665371418,0.42496620018356007,False
umap5,hdbscan,nn30_hdbscan_mcs5_ms5,5,30,5,5,23,123,0.26914660831509846,0.7308533916849015,5,68,0.11580570042133331,0.34406698160344046,False
umap5,hdbscan,nn30_hdbscan_mcs8_ms1,5,30,8,1,18,68,0.1487964989059081,0.8512035010940919,9,77,0.08380136638879776,0.45229144777739866,False
umap5,hdbscan,nn30_hdbscan_mcs8_ms3,5,30,8,3,19,97,0.212253829321663,0.787746170678337,8,74,0.08731059730052948,0.40439191119954104,False
umap5,hdbscan,nn30_hdbscan_mcs8_ms5,5,30,8,5,14,109,0.23851203501094093,0.7614879649890591,10,96,0.08134965598583221,0.356641876923482,False
umap5,hdbscan,nn30_hdbscan_mcs8_ms8,5,30,8,8,13,146,0.31947483588621445,0.6805251641137856,8,89,0.09007830917835236,0.27455177416784915,False
umap5,hdbscan,nn30_hdbscan_mcs10_ms1,5,30,10,1,16,75,0.16411378555798686,0.8358862144420132,10,77,0.0820259153842926,0.44795619075289034,False
umap5,hdbscan,nn30_hdbscan_mcs10_ms3,5,30,10,3,16,92,0.2013129102844639,0.7986870897155361,10,74,0.09249786287546158,0.43549493410087764,False
umap5,hdbscan,nn30_hdbscan_mcs10_ms5,5,30,10,5,14,109,0.23851203501094093,0.7614879649890591,10,96,0.08134965598583221,0.356641876923482,False
umap5,hdbscan,nn30_hdbscan_mcs10_ms8,5,30,10,8,10,134,0.29321663019693656,0.7067833698030634,10,111,0.05793275684118271,0.2432238499258912,False
umap5,hdbscan,nn30_hdbscan_mcs10_ms10,5,30,10,10,10,182,0.3982494529540481,0.6017505470459519,11,84,0.11277183890342712,0.21495930310038003,False
umap5,hdbscan,nn30_hdbscan_mcs12_ms1,5,30,12,1,13,97,0.212253829321663,0.787746170678337,12,77,0.07286953181028366,0.3964616066628925,False
umap5,hdbscan,nn30_hdbscan_mcs12_ms3,5,30,12,3,12,110,0.24070021881838075,0.7592997811816192,12,74,0.08478272706270218,0.3862077019323968,False
umap5,hdbscan,nn30_hdbscan_mcs12_ms5,5,30,12,5,3,11,0.024070021881838075,0.975929978118162,13,415,0.006412920076400042,0.021371214840799017,False
