space,config,algorithm,cluster_count,noise_count,noise_fraction,coverage,smallest_cluster,largest_cluster,silhouette_original_cosine,eps,min_samples,min_cluster_size,selected
raw,dbscan_eps0.261324_ms10,dbscan,1,11,0.024070021881838075,0.975929978118162,446,446,,0.261324,10.0,,False
raw,dbscan_eps0.268755_ms10,dbscan,1,8,0.0175054704595186,0.9824945295404814,449,449,,0.268755,10.0,,False
raw,hdbscan_mcs5_ms1,hdbscan,2,111,0.24288840262582057,0.7571115973741794,5,341,0.15549004077911377,,1.0,5.0,False
raw,hdbscan_mcs5_ms3,hdbscan,7,358,0.7833698030634574,0.21663019693654267,6,38,0.25887611508369446,,3.0,5.0,False
raw,hdbscan_mcs5_ms5,hdbscan,3,375,0.8205689277899344,0.17943107221006566,5,67,0.23537611961364746,,5.0,5.0,False
raw,hdbscan_mcs8_ms1,hdbscan,2,239,0.5229759299781181,0.47702407002188185,13,205,0.12214364856481552,,1.0,8.0,False
raw,hdbscan_mcs8_ms3,hdbscan,2,274,0.5995623632385121,0.40043763676148797,12,171,0.1284686177968979,,3.0,8.0,False
raw,hdbscan_mcs8_ms5,hdbscan,2,380,0.8315098468271335,0.16849015317286653,10,67,0.2558624744415283,,5.0,8.0,False
raw,hdbscan_mcs8_ms8,hdbscan,2,389,0.8512035010940919,0.1487964989059081,10,58,0.2913711667060852,,8.0,8.0,True
raw,hdbscan_mcs10_ms1,hdbscan,2,239,0.5229759299781181,0.47702407002188185,13,205,0.12214364856481552,,1.0,10.0,False
raw,hdbscan_mcs10_ms3,hdbscan,2,274,0.5995623632385121,0.40043763676148797,12,171,0.1284686177968979,,3.0,10.0,False
raw,hdbscan_mcs10_ms5,hdbscan,2,380,0.8315098468271335,0.16849015317286653,10,67,0.2558624744415283,,5.0,10.0,False
raw,hdbscan_mcs10_ms8,hdbscan,2,389,0.8512035010940919,0.1487964989059081,10,58,0.2913711667060852,,8.0,10.0,False
raw,hdbscan_mcs10_ms10,hdbscan,0,457,1.0,0.0,0,0,,,10.0,10.0,False
raw,hdbscan_mcs12_ms1,hdbscan,2,239,0.5229759299781181,0.47702407002188185,13,205,0.12214364856481552,,1.0,12.0,False
raw,hdbscan_mcs12_ms3,hdbscan,2,274,0.5995623632385121,0.40043763676148797,12,171,0.1284686177968979,,3.0,12.0,False
raw,hdbscan_mcs12_ms5,hdbscan,0,457,1.0,0.0,0,0,,,5.0,12.0,False
raw,hdbscan_mcs12_ms8,hdbscan,0,457,1.0,0.0,0,0,,,8.0,12.0,False
raw,hdbscan_mcs12_ms10,hdbscan,0,457,1.0,0.0,0,0,,,10.0,12.0,False
raw,hdbscan_mcs15_ms1,hdbscan,2,383,0.838074398249453,0.16192560175054704,25,49,0.240961492061615,,1.0,15.0,False
raw,hdbscan_mcs15_ms3,hdbscan,2,401,0.8774617067833698,0.12253829321663019,18,38,0.26096564531326294,,3.0,15.0,False
raw,hdbscan_mcs15_ms5,hdbscan,0,457,1.0,0.0,0,0,,,5.0,15.0,False
raw,hdbscan_mcs15_ms8,hdbscan,0,457,1.0,0.0,0,0,,,8.0,15.0,False
raw,hdbscan_mcs15_ms10,hdbscan,0,457,1.0,0.0,0,0,,,10.0,15.0,False
raw,hdbscan_mcs20_ms1,hdbscan,2,383,0.838074398249453,0.16192560175054704,25,49,0.240961492061615,,1.0,20.0,False
raw,hdbscan_mcs20_ms3,hdbscan,0,457,1.0,0.0,0,0,,,3.0,20.0,False
raw,hdbscan_mcs20_ms5,hdbscan,0,457,1.0,0.0,0,0,,,5.0,20.0,False
raw,hdbscan_mcs20_ms8,hdbscan,0,457,1.0,0.0,0,0,,,8.0,20.0,False
raw,hdbscan_mcs20_ms10,hdbscan,0,457,1.0,0.0,0,0,,,10.0,20.0,False
umap5,kmeans_k2,kmeans,2,0,0.0,1.0,206,251,0.06798151880502701,,,,False
umap5,kmeans_k3,kmeans,3,0,0.0,1.0,90,225,0.06942486017942429,,,,True
umap5,kmeans_k5,kmeans,5,0,0.0,1.0,13,182,0.03422810137271881,,,,False
umap5,kmeans_k6,kmeans,6,0,0.0,1.0,11,185,0.037477750331163406,,,,False
umap5,kmeans_k8,kmeans,8,0,0.0,1.0,11,126,0.047287892550230026,,,,False
umap5,kmeans_k10,kmeans,10,0,0.0,1.0,11,80,0.0581827238202095,,,,False
umap5,kmeans_k12,kmeans,12,0,0.0,1.0,11,74,0.0596243292093277,,,,False
umap5,dbscan_eps0.122307_ms3,dbscan,29,309,0.6761487964989059,0.3238512035010941,3,13,0.20844557881355286,0.122307,3.0,,False
umap5,dbscan_eps0.127431_ms3,dbscan,33,290,0.6345733041575492,0.36542669584245074,3,13,0.2137318253517151,0.127431,3.0,,False
umap5,dbscan_eps0.131253_ms3,dbscan,36,279,0.6105032822757112,0.38949671772428884,3,13,0.19739601016044617,0.131253,3.0,,False
umap5,dbscan_eps0.137415_ms3,dbscan,38,272,0.5951859956236324,0.4048140043763676,3,13,0.19401715695858002,0.137415,3.0,,False
umap5,dbscan_eps0.144066_ms3,dbscan,39,265,0.5798687089715536,0.4201312910284464,3,13,0.18836158514022827,0.144066,3.0,,False
umap5,dbscan_eps0.150301_ms3,dbscan,40,255,0.5579868708971554,0.4420131291028446,3,14,0.18022114038467407,0.150301,3.0,,False
umap5,dbscan_eps0.157331_ms3,dbscan,42,237,0.5185995623632386,0.4814004376367615,3,14,0.16017881035804749,0.157331,3.0,,False
umap5,dbscan_eps0.163892_ms3,dbscan,43,228,0.4989059080962801,0.5010940919037199,3,14,0.15172916650772095,0.163892,3.0,,False
umap5,dbscan_eps0.172391_ms3,dbscan,44,209,0.4573304157549234,0.5426695842450766,3,14,0.12906514108181,0.172391,3.0,,False
umap5,dbscan_eps0.177222_ms3,dbscan,42,202,0.4420131291028446,0.5579868708971554,3,18,0.1343350112438202,0.177222,3.0,,False
umap5,dbscan_eps0.180941_ms3,dbscan,43,191,0.4179431072210066,0.5820568927789934,3,18,0.1312662661075592,0.180941,3.0,,False
umap5,dbscan_eps0.187782_ms3,dbscan,46,174,0.38074398249452956,0.6192560175054704,3,18,0.1186152771115303,0.187782,3.0,,False
umap5,dbscan_eps0.194112_ms3,dbscan,46,167,0.36542669584245074,0.6345733041575492,3,18,0.11705448478460312,0.194112,3.0,,False
umap5,dbscan_eps0.201433_ms3,dbscan,46,156,0.3413566739606127,0.6586433260393874,3,19,0.11186522245407104,0.201433,3.0,,False
umap5,dbscan_eps0.207139_ms3,dbscan,45,146,0.31947483588621445,0.6805251641137856,3,21,0.11280723661184311,0.207139,3.0,,False
umap5,dbscan_eps0.214813_ms3,dbscan,42,141,0.3085339168490153,0.6914660831509847,3,26,0.10955026000738144,0.214813,3.0,,False
umap5,dbscan_eps0.224831_ms3,dbscan,42,133,0.2910284463894967,0.7089715536105032,3,26,0.10929986089468002,0.224831,3.0,,False
umap5,dbscan_eps0.236130_ms3,dbscan,38,121,0.2647702407002188,0.7352297592997812,3,34,0.09405239671468735,0.23613,3.0,,False
umap5,dbscan_eps0.242119_ms3,dbscan,37,110,0.24070021881838075,0.7592997811816192,3,50,0.08721903711557388,0.242119,3.0,,False
umap5,dbscan_eps0.254396_ms3,dbscan,36,99,0.21663019693654267,0.7833698030634574,3,50,0.07878246158361435,0.254396,3.0,,False
umap5,dbscan_eps0.264105_ms3,dbscan,35,88,0.1925601750547046,0.8074398249452954,3,50,0.0698569267988205,0.264105,3.0,,False
umap5,dbscan_eps0.274119_ms3,dbscan,36,78,0.17067833698030635,0.8293216630196937,3,51,0.06761655956506729,0.274119,3.0,,False
umap5,dbscan_eps0.285439_ms3,dbscan,33,66,0.14442013129102846,0.8555798687089715,3,52,0.061802417039871216,0.285439,3.0,,False
umap5,dbscan_eps0.299556_ms3,dbscan,32,51,0.11159737417943107,0.888402625820569,3,52,0.06881333142518997,0.299556,3.0,,False
umap5,dbscan_eps0.317399_ms3,dbscan,29,47,0.10284463894967177,0.8971553610503282,3,63,0.052577387541532516,0.317399,3.0,,False
umap5,dbscan_eps0.333034_ms3,dbscan,24,40,0.087527352297593,0.912472647702407,3,91,0.03353850170969963,0.333034,3.0,,False
umap5,dbscan_eps0.362911_ms3,dbscan,21,30,0.06564551422319474,0.9343544857768052,3,227,-0.025263015180826187,0.362911,3.0,,False
umap5,dbscan_eps0.388186_ms3,dbscan,18,18,0.03938730853391685,0.9606126914660832,3,243,-0.04020514339208603,0.388186,3.0,,False
umap5,dbscan_eps0.192078_ms5,dbscan,22,276,0.6039387308533917,0.39606126914660833,4,14,0.16669203341007233,0.192078,5.0,,False
umap5,dbscan_eps0.199211_ms5,dbscan,20,273,0.5973741794310722,0.4026258205689278,4,18,0.17930099368095398,0.199211,5.0,,False
umap5,dbscan_eps0.212250_ms5,dbscan,22,252,0.5514223194748359,0.4485776805251641,4,20,0.17036810517311096,0.21225,5.0,,False
