paper_id,keyword,chunk_index,chunk_type,characters,words
234ec11212b7,Design methods,0,title_abstract,1254,182
234ec11212b7,Design methods,1,title_pdf_passage,955,132
234ec11212b7,Design methods,2,title_pdf_passage,955,128
234ec11212b7,Design methods,3,title_pdf_passage,1094,157
234ec11212b7,Design methods,4,title_pdf_passage,928,120
234ec11212b7,Design methods,5,title_pdf_passage,958,132
234ec11212b7,Design methods,6,title_pdf_passage,922,134
234ec11212b7,Design methods,7,title_pdf_passage,1021,132
234ec11212b7,Design methods,8,title_pdf_passage,980,140
234ec11212b7,Design methods,9,title_pdf_passage,959,130
234ec11212b7,Design methods,10,title_pdf_passage,995,151
234ec11212b7,Design methods,11,title_pdf_passage,975,159
234ec11212b7,Design methods,12,title_pdf_passage,703,103
275ac93d8820,Design knowledge,0,title_abstract,806,109
275ac93d8820,Design knowledge,1,title_pdf_passage,742,111
275ac93d8820,Design knowledge,2,title_pdf_passage,770,117
275ac93d8820,Design knowledge,3,title_pdf_passage,993,152
275ac93d8820,Design knowledge,4,title_pdf_passage,1235,168
275ac93d8820,Design knowledge,5,title_pdf_passage,1071,140
275ac93d8820,Design knowledge,6,title_pdf_passage,944,137
275ac93d8820,Design knowledge,7,title_pdf_passage,1012,147
275ac93d8820,Design knowledge,8,title_pdf_passage,1109,168
275ac93d8820,Design knowledge,9,title_pdf_passage,1043,153
275ac93d8820,Design knowledge,10,title_pdf_passage,992,147
275ac93d8820,Design knowledge,11,title_pdf_passage,957,139
275ac93d8820,Design knowledge,12,title_pdf_passage,949,106
27e1a41acfbb,Design Patterns,0,title_abstract,984,141
27e1a41acfbb,Design Patterns,1,title_pdf_passage,1063,153
27e1a41acfbb,Design Patterns,2,title_pdf_passage,848,128
27e1a41acfbb,Design Patterns,3,title_pdf_passage,944,134
27e1a41acfbb,Design Patterns,4,title_pdf_passage,1188,185
27e1a41acfbb,Design Patterns,5,title_pdf_passage,544,77
27e1a41acfbb,Design Patterns,6,title_pdf_passage,959,144
27e1a41acfbb,Design Patterns,7,title_pdf_passage,1072,159
27e1a41acfbb,Design Patterns,8,title_pdf_passage,1019,155
27e1a41acfbb,Design Patterns,9,title_pdf_passage,969,145
27e1a41acfbb,Design Patterns,10,title_pdf_passage,348,57
27e1a41acfbb,Design Patterns,11,title_pdf_passage,615,93
28e9bfcf6713,Design knowledge,0,title_abstract,715,100
28e9bfcf6713,Design knowledge,1,title_pdf_passage,948,121
28e9bfcf6713,Design knowledge,2,title_pdf_passage,968,131
28e9bfcf6713,Design knowledge,3,title_pdf_passage,989,140
28e9bfcf6713,Design knowledge,4,title_pdf_passage,1059,144
28e9bfcf6713,Design knowledge,5,title_pdf_passage,970,146
28e9bfcf6713,Design knowledge,6,title_pdf_passage,426,54
28e9bfcf6713,Design knowledge,7,title_pdf_passage,949,131
28e9bfcf6713,Design knowledge,8,title_pdf_passage,458,67
28e9bfcf6713,Design knowledge,9,title_pdf_passage,853,128
2a64adab5143,Design principles,0,title_abstract,1155,167
2a64adab5143,Design principles,1,title_pdf_passage,908,133
2a64adab5143,Design principles,2,title_pdf_passage,1243,172
2a64adab5143,Design principles,3,title_pdf_passage,1060,146
2a64adab5143,Design principles,4,title_pdf_passage,1122,175
2a64adab5143,Design principles,5,title_pdf_passage,800,115
2a64adab5143,Design principles,6,title_pdf_passage,680,99
2a64adab5143,Design principles,7,title_pdf_passage,658,99
2a64adab5143,Design principles,8,title_pdf_passage,884,127
2a64adab5143,Design principles,9,title_pdf_passage,1266,177
2a64adab5143,Design principles,10,title_pdf_passage,1049,137
2a64adab5143,Design principles,11,title_pdf_passage,581,89
2a64adab5143,Design principles,12,title_pdf_passage,841,126
2b32e2beaead,Design Heuristics,0,title_abstract,1176,175
2b32e2beaead,Design Heuristics,1,title_pdf_passage,1125,168
2b32e2beaead,Design Heuristics,2,title_pdf_passage,947,136
2b32e2beaead,Design Heuristics,3,title_pdf_passage,973,143
2b32e2beaead,Design Heuristics,4,title_pdf_passage,773,102
2b32e2beaead,Design Heuristics,5,title_pdf_passage,1020,147
2b32e2beaead,Design Heuristics,6,title_pdf_passage,989,134
2b32e2beaead,Design Heuristics,7,title_pdf_passage,965,133
2b32e2beaead,Design Heuristics,8,title_pdf_passage,1053,162
2b32e2beaead,Design Heuristics,9,title_pdf_passage,1158,176
2b32e2beaead,Design Heuristics,10,title_pdf_passage,954,132
2b32e2beaead,Design Heuristics,11,title_pdf_passage,1280,193
2b32e2beaead,Design Heuristics,12,title_pdf_passage,986,156
2c1d03d1ba75,Design Patterns,0,title_abstract,791,105
2c1d03d1ba75,Design Patterns,1,title_pdf_passage,803,110
2c1d03d1ba75,Design Patterns,2,title_pdf_passage,1146,163
2c1d03d1ba75,Design Patterns,3,title_pdf_passage,1117,168
2c1d03d1ba75,Design Patterns,4,title_pdf_passage,1061,147
2c1d03d1ba75,Design Patterns,5,title_pdf_passage,1097,150
2c1d03d1ba75,Design Patterns,6,title_pdf_passage,955,146
2c1d03d1ba75,Design Patterns,7,title_pdf_passage,1044,156
2c1d03d1ba75,Design Patterns,8,title_pdf_passage,961,147
2c1d03d1ba75,Design Patterns,9,title_pdf_passage,1237,180
2c1d03d1ba75,Design Patterns,10,title_pdf_passage,1018,154
2c1d03d1ba75,Design Patterns,11,title_pdf_passage,428,67
2c1d03d1ba75,Design Patterns,12,title_pdf_passage,1000,147
2cceb8eaa8c9,Design Guidelines,0,title_abstract,3597,459
2cceb8eaa8c9,Design Guidelines,1,title_pdf_passage,835,100
2cceb8eaa8c9,Design Guidelines,2,title_pdf_passage,973,123
2cceb8eaa8c9,Design Guidelines,3,title_pdf_passage,1140,145
2cceb8eaa8c9,Design Guidelines,4,title_pdf_passage,867,115
2cceb8eaa8c9,Design Guidelines,5,title_pdf_passage,727,85
2cceb8eaa8c9,Design Guidelines,6,title_pdf_passage,984,129
2cceb8eaa8c9,Design Guidelines,7,title_pdf_passage,953,124
2cceb8eaa8c9,Design Guidelines,8,title_pdf_passage,967,128
2cceb8eaa8c9,Design Guidelines,9,title_pdf_passage,1041,133
2cceb8eaa8c9,Design Guidelines,10,title_pdf_passage,750,95
2cceb8eaa8c9,Design Guidelines,11,title_pdf_passage,985,125
2cceb8eaa8c9,Design Guidelines,12,title_pdf_passage,827,105
2f7b1528d74d,Design knowledge,0,title_abstract,1274,190
2f7b1528d74d,Design knowledge,1,title_pdf_passage,947,128
2f7b1528d74d,Design knowledge,2,title_pdf_passage,762,108
2f7b1528d74d,Design knowledge,3,title_pdf_passage,996,139
2f7b1528d74d,Design knowledge,4,title_pdf_passage,996,149
2f7b1528d74d,Design knowledge,5,title_pdf_passage,447,64
2f7b1528d74d,Design knowledge,6,title_pdf_passage,589,86
2f7b1528d74d,Design knowledge,7,title_pdf_passage,1003,144
2f7b1528d74d,Design knowledge,8,title_pdf_passage,702,107
2f7b1528d74d,Design knowledge,9,title_pdf_passage,1055,163
2f7b1528d74d,Design knowledge,10,title_pdf_passage,368,48
2f7b1528d74d,Design knowledge,11,title_pdf_passage,1266,175
2f7b1528d74d,Design knowledge,12,title_pdf_passage,1240,189
306d52b89600,Design theory,0,title_abstract,1620,220
306d52b89600,Design theory,1,title_pdf_passage,521,76
306d52b89600,Design theory,2,title_pdf_passage,947,133
306d52b89600,Design theory,3,title_pdf_passage,1021,151
