paper_id,pdf_filename,keyword,title
dbf31702e533,dbf31702e533.pdf,Design methods,Patterns for living lab practice: describing key know-how to promote service co-creation with users
ddf4ea43a777,ddf4ea43a777.pdf,Design knowledge,Adaptation of Toulmin’s Model of Argumentation for Establishing Rigour and Relevance in Design Research
e47202a23273,e47202a23273.pdf,Design theory,Toward a design theory of strategic enterprise management business intelligence (SEMBI) capability maturity model
e763873f823a,e763873f823a.pdf,Design Patterns,Formalising design patterns
e8a17b6120e4,e8a17b6120e4.pdf,Design knowledge,Designing as reflective conversation with the materials of a design situation
e9826a1c57b0,e9826a1c57b0.pdf,Design Patterns,In Search of Living Law: How Should We Design for (Digital) Legal Interaction?
ec380d04cf61,ec380d04cf61.pdf,Design theory,GENERAL DESIGN THEORY.
ef3a9300a2f3,ef3a9300a2f3.pdf,Design knowledge,Developing a competency taxonomy for teacher design knowledge in technology-enhanced learning environments: a literature review
f02904f836be,f02904f836be.pdf,Design methods,Universal Participatory Design: Achievements and Challenges
f16832406221,f16832406221.pdf,Design methods,A Framework for Systemic Design
f1a4dde3d156,f1a4dde3d156.pdf,Design Patterns,Catalogue of general-purpose software design patterns
f47226c43979,f47226c43979.pdf,Design methods,The Human-Centredness Metric: Early Assessment of the Quality of Human-Centred Design Activities
f56243f52335,f56243f52335.pdf,Design theory,"Theory construction in design research Criteria: Approaches, and methods"
f941f0424e1a,f941f0424e1a.pdf,Design Rules,"Design Rules, Volume 2: Chapter 6—The Value Structure of Technologies, Part 1: Mapping Functional Components"
fc4c2b9d38d7,fc4c2b9d38d7.pdf,Design knowledge,A framework for supporting architecture knowledge and rationale management
fd05a25a5e94,fd05a25a5e94.pdf,Design theory,Four Criteria for Design Theories
fda0636dbea5,fda0636dbea5.pdf,Design knowledge,Design Research: Aesthetic Epistemology and Explanatory Knowledge
